Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,71.8467172669,71.1195864074,1.0102240591689426,10102.240591689426,2013-01-09 00:00:00+00:00,2013-01-16 00:00:00+00:00
Long,71.1195864074,71.7229503121,1.008483793778604,10084.83793778604,2013-01-16 00:00:00+00:00,2013-01-17 00:00:00+00:00
Short,72.6976150812,73.6877507197,0.9865630904888606,9966.497698999136,2013-01-18 00:00:00+00:00,2013-01-30 00:00:00+00:00
Long,73.6877507197,73.8888720213,1.002729372244853,10112.363214547273,2013-01-30 00:00:00+00:00,2013-02-11 00:00:00+00:00
Short,74.2756437551,73.7292697468,1.0074105441458507,10040.354870177089,2013-02-13 00:00:00+00:00,2013-02-14 00:00:00+00:00
Long,73.7292697468,73.7448804327,1.000211729832041,10114.504303512227,2013-02-14 00:00:00+00:00,2013-02-22 00:00:00+00:00
Long,72.4804148707,74.1663689534,1.0232608227437388,10349.775995257009,2013-02-25 00:00:00+00:00,2013-02-27 00:00:00+00:00
Short,75.0717887386,77.5070557469,0.9685800604237584,9724.887526832103,2013-03-01 00:00:00+00:00,2013-03-19 00:00:00+00:00
Long,77.0543458543,76.851406937,0.9973662884935298,10322.517671128911,2013-03-21 00:00:00+00:00,2013-04-09 00:00:00+00:00
Short,77.6475519205,76.1489260692,1.0196801968019633,9916.275227237116,2013-04-10 00:00:00+00:00,2013-04-15 00:00:00+00:00
Long,76.1489260692,78.6934678792,1.0334153341530734,10667.44804841069,2013-04-15 00:00:00+00:00,2013-04-22 00:00:00+00:00
Short,82.3463683918,83.3142309207,0.98838298669742,9801.077726010259,2013-04-24 00:00:00+00:00,2013-05-01 00:00:00+00:00
Short,85.3123987224,85.7026658712,0.9954462659377887,9756.446224522946,2013-05-07 00:00:00+00:00,2013-05-13 00:00:00+00:00
Short,87.4340328585,87.4655122583,0.9996400935753166,9752.934816844661,2013-05-15 00:00:00+00:00,2013-05-22 00:00:00+00:00
Long,87.1192388608,87.9691826546,1.00975609756139,10771.520712302043,2013-05-23 00:00:00+00:00,2013-05-28 00:00:00+00:00
Short,88.6145103499,87.8117856558,1.0091414231939946,9842.090521388882,2013-05-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
Long,85.9545010694,84.2546134819,0.9802234023076056,10558.496680639551,2013-06-05 00:00:00+00:00,2013-06-26 00:00:00+00:00
Long,82.6334243937,84.6166265792,1.0240000000006197,10811.900600981444,2013-06-28 00:00:00+00:00,2013-07-08 00:00:00+00:00
Short,84.6166265792,93.1517773713,0.9083737204704193,8940.296384120667,2013-07-08 00:00:00+00:00,2013-08-15 00:00:00+00:00
Long,93.1517773713,90.757170905,0.9742934967654435,10533.96444321061,2013-08-15 00:00:00+00:00,2013-09-04 00:00:00+00:00
Short,93.29450226,94.2301431972,0.990070683271255,8851.52534967388,2013-09-11 00:00:00+00:00,2013-09-20 00:00:00+00:00
Long,94.2301431972,93.6592436423,0.9939414338604448,10470.143722919696,2013-09-20 00:00:00+00:00,2013-10-16 00:00:00+00:00
Short,94.5790262585,96.7674745522,0.977384464110206,8651.34336044891,2013-10-17 00:00:00+00:00,2013-10-30 00:00:00+00:00
