Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,111.7229060771,110.2752335662,1.0131278117858706,10131.278117858707,2013-01-10 00:00:00+00:00,2013-01-15 00:00:00+00:00
Short,114.748378965,117.237074405,0.9787721123831297,9916.212484557544,2013-01-16 00:00:00+00:00,2013-01-28 00:00:00+00:00
Short,120.2544143012,119.9778925857,1.0023047722337886,9939.0670957563,2013-01-31 00:00:00+00:00,2013-02-04 00:00:00+00:00
Short,125.3375340725,126.2077641774,0.9931047815435762,9870.535056878007,2013-02-12 00:00:00+00:00,2013-02-20 00:00:00+00:00
Long,122.7105777747,127.8092491449,1.0415503819040057,10415.503819040057,2013-02-21 00:00:00+00:00,2013-03-07 00:00:00+00:00
Short,127.8092491449,124.8388388085,1.023793959994746,10105.3941731481,2013-03-07 00:00:00+00:00,2013-03-08 00:00:00+00:00
Long,123.9167059293,121.9663540876,0.9842607836685655,10251.571951231304,2013-03-12 00:00:00+00:00,2013-04-10 00:00:00+00:00
Short,121.9663540876,119.5182137004,1.0204834084396277,10312.387089440128,2013-04-10 00:00:00+00:00,2013-04-15 00:00:00+00:00
Long,119.5182137004,121.8521075362,1.0195275160458006,10451.759687003652,2013-04-15 00:00:00+00:00,2013-05-07 00:00:00+00:00
Short,121.8521075362,128.4539261135,0.9486055523794055,9782.387651328601,2013-05-07 00:00:00+00:00,2013-05-23 00:00:00+00:00
Short,134.5345817621,132.6763919197,1.0140054294175007,9919.394191113915,2013-05-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
Long,129.5821374685,128.4688607347,0.9914087176245983,10361.965668212762,2013-06-05 00:00:00+00:00,2013-07-09 00:00:00+00:00
Short,128.4688607347,135.2794948707,0.9496550889511407,9420.003172903715,2013-07-09 00:00:00+00:00,2013-07-26 00:00:00+00:00
Long,133.5686504784,130.9829927115,0.9806417317414003,10161.3759571211,2013-07-29 00:00:00+00:00,2013-09-09 00:00:00+00:00
Short,130.9829927115,135.7134588098,0.9651437216339048,9091.656920099484,2013-09-09 00:00:00+00:00,2013-09-23 00:00:00+00:00
Long,135.7134588098,136.0666012442,1.0026021180028646,10187.817056433,2013-09-23 00:00:00+00:00,2013-11-18 00:00:00+00:00
Short,136.0666012442,135.5081434409,1.0041212121214218,9129.125566802406,2013-11-18 00:00:00+00:00,2013-11-20 00:00:00+00:00
Short,139.1873948507,138.464228279,1.0052227682246049,9176.80487373113,2013-11-25 00:00:00+00:00,2013-12-03 00:00:00+00:00
Long,136.4126012132,144.0588257799,1.0560521865186756,10758.866478298327,2013-12-05 00:00:00+00:00,2013-12-18 00:00:00+00:00
Short,144.0588257799,144.7921382652,0.9949354122807629,9130.328140465796,2013-12-18 00:00:00+00:00,2013-12-30 00:00:00+00:00
Short,147.7913039358,146.1681291086,1.0111048478016298,9231.719044844605,2014-01-06 00:00:00+00:00,2014-01-09 00:00:00+00:00
Long,146.1681291086,142.1149241664,0.9722702550349498,10460.525854742087,2014-01-09 00:00:00+00:00,2014-03-05 00:00:00+00:00
Short,142.1149241664,140.4531964319,1.0118311848837536,9340.941219659031,2014-03-05 00:00:00+00:00,2014-03-11 00:00:00+00:00
Long,140.4531964319,138.2871632654,0.98457825651871,10299.206308330853,2014-03-11 00:00:00+00:00,2014-04-02 00:00:00+00:00
Short,138.2871632654,134.9554404941,1.0246875765741779,9571.546421294257,2014-04-02 00:00:00+00:00,2014-04-04 00:00:00+00:00
Long,134.9554404941,132.657130493,0.9829698603280801,10123.80938639006,2014-04-04 00:00:00+00:00,2014-04-22 00:00:00+00:00
Short,132.657130493,130.821789413,1.0140293225481414,9705.828733323102,2014-04-22 00:00:00+00:00,2014-04-25 00:00:00+00:00
Long,130.821789413,133.7401470762,1.0223078867541464,10349.650179702214,2014-04-25 00:00:00+00:00,2014-05-27 00:00:00+00:00
Short,133.7401470762,132.570564623,1.0088223389296562,9791.456844001674,2014-05-27 00:00:00+00:00,2014-05-30 00:00:00+00:00
Short,134.8684212277,139.5553850605,0.9664150270463007,9462.611030718563,2014-06-05 00:00:00+00:00,2014-06-24 00:00:00+00:00
Long,139.5553850605,141.4135795712,1.0133151043214452,10487.456851535413,2014-06-24 00:00:00+00:00,2014-07-16 00:00:00+00:00
Short,141.4135795712,145.9595197135,0.9688547882918285,9167.896006854753,2014-07-16 00:00:00+00:00,2014-07-28 00:00:00+00:00
Long,143.4045022613,147.5522578655,1.0289234685020021,10790.790479446903,2014-07-31 00:00:00+00:00,2014-08-25 00:00:00+00:00
Short,147.5522578655,147.6175699121,0.9995575591263364,9163.839754935823,2014-08-25 00:00:00+00:00,2014-09-09 00:00:00+00:00
Long,147.6175699121,153.0929002956,1.0370913190534183,11191.035131958657,2014-09-09 00:00:00+00:00,2014-09-15 00:00:00+00:00
Short,153.0929002956,154.1829736698,0.9929300016191509,9099.051422706067,2014-09-15 00:00:00+00:00,2014-09-22 00:00:00+00:00
Long,153.1844331743,155.0400542617,1.0121136400673858,11326.599303528674,2014-09-25 00:00:00+00:00,2014-10-28 00:00:00+00:00
Short,155.0400542617,158.2520261888,0.9797034388471715,8914.371969072381,2014-10-28 00:00:00+00:00,2014-11-12 00:00:00+00:00
Long,158.2520261888,159.3987573686,1.0072462337918626,11408.674490148791,2014-11-12 00:00:00+00:00,2014-12-03 00:00:00+00:00
Short,159.3987573686,160.2752627116,0.9945312499997134,8865.621497363962,2014-12-03 00:00:00+00:00,2014-12-10 00:00:00+00:00
Long,160.2752627116,156.6440262908,0.9773437500000606,11150.196708732048,2014-12-10 00:00:00+00:00,2015-02-11 00:00:00+00:00
Short,156.6440262908,158.9250075555,0.9856474364872789,8738.377101743301,2015-02-11 00:00:00+00:00,2015-02-27 00:00:00+00:00
Long,158.9250075555,163.1956094762,1.0268718056798494,11449.822627981192,2015-02-27 00:00:00+00:00,2015-04-09 00:00:00+00:00
Short,163.1956094762,165.2555468732,0.9875348365850583,8629.451803188686,2015-04-09 00:00:00+00:00,2015-04-17 00:00:00+00:00
Long,164.8284866812,171.3767429596,1.0397276976222272,11904.697719173762,2015-04-21 00:00:00+00:00,2015-05-18 00:00:00+00:00
Short,171.3767429596,173.1962372844,0.9894946082355572,8538.796031283811,2015-05-18 00:00:00+00:00,2015-05-29 00:00:00+00:00
Short,179.706110891,177.8749464442,1.0102946732151201,8626.700146076442,2015-06-11 00:00:00+00:00,2015-06-15 00:00:00+00:00
Long,178.7653291569,178.8829268736,1.0006578329100762,11912.529021117944,2015-06-25 00:00:00+00:00,2015-07-15 00:00:00+00:00
Short,178.8829268736,177.6565506845,1.0069030732859265,8686.25088940052,2015-07-15 00:00:00+00:00,2015-07-21 00:00:00+00:00
Long,177.2785580235,167.8787512857,0.9469771931665082,11280.893295932841,2015-07-23 00:00:00+00:00,2015-11-06 00:00:00+00:00
Short,167.8787512857,162.4842440395,1.0332001867509601,8974.63604109431,2015-11-06 00:00:00+00:00,2015-11-12 00:00:00+00:00
Long,162.4842440395,163.2937851932,1.00498227479523,11337.097806268846,2015-11-12 00:00:00+00:00,2015-12-01 00:00:00+00:00
Short,163.2937851932,160.9171573567,1.0147692631136394,9107.184802134383,2015-12-01 00:00:00+00:00,2015-12-02 00:00:00+00:00
Long,156.637535701,131.3676861908,0.8386730907307125,9508.118857099875,2015-12-03 00:00:00+00:00,2016-03-01 00:00:00+00:00
Short,131.3676861908,128.7768588848,1.0201187335087718,9290.40982618366,2016-03-01 00:00:00+00:00,2016-03-08 00:00:00+00:00
Long,128.7768588848,135.7593508375,1.0542216358837138,10023.664615708616,2016-03-08 00:00:00+00:00,2016-04-01 00:00:00+00:00
Short,135.7593508375,131.9623022939,1.0287737367232606,9557.729632573462,2016-04-01 00:00:00+00:00,2016-04-05 00:00:00+00:00
Long,131.9623022939,135.7848343848,1.0289668490504709,10314.018595564394,2016-04-05 00:00:00+00:00,2016-04-13 00:00:00+00:00
Short,136.6852530551,139.5563993811,0.9794266236537137,9361.094863826476,2016-04-14 00:00:00+00:00,2016-04-28 00:00:00+00:00
Long,139.5563993811,130.2056435703,0.9329965816525189,9622.944092762093,2016-04-28 00:00:00+00:00,2016-06-23 00:00:00+00:00
Short,130.2056435703,120.994187062,1.076131397151996,10073.768094681958,2016-06-23 00:00:00+00:00,2016-06-24 00:00:00+00:00
Long,120.994187062,133.8390514153,1.1061610038068854,10644.525497227254,2016-06-24 00:00:00+00:00,2016-07-12 00:00:00+00:00
Short,134.6919640549,136.5086679774,0.9866916588564123,9939.70295227654,2016-07-13 00:00:00+00:00,2016-07-21 00:00:00+00:00
Long,135.4510563042,139.4000418258,1.0291543353691628,10954.859563419022,2016-07-29 00:00:00+00:00,2016-08-09 00:00:00+00:00
Short,139.4000418258,140.9864593356,0.9887477313972136,9827.858744825617,2016-08-09 00:00:00+00:00,2016-08-24 00:00:00+00:00
Long,140.9864593356,145.0122069948,1.0285541439807155,11267.666200681408,2016-08-24 00:00:00+00:00,2016-08-30 00:00:00+00:00
Short,145.0122069948,144.3272582696,1.004745802930175,9874.499825654157,2016-08-30 00:00:00+00:00,2016-09-09 00:00:00+00:00
