Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,33.4318530773,34.035555335,0.982262600044043,9822.62600044043,2013-01-07 00:00:00+00:00,2013-01-23 00:00:00+00:00
Long,34.035555335,34.7202420419,1.0201168072670146,10201.168072670145,2013-01-23 00:00:00+00:00,2013-01-25 00:00:00+00:00
Short,35.2282354051,35.7877643269,0.9843653569222979,9669.052748837787,2013-02-01 00:00:00+00:00,2013-02-20 00:00:00+00:00
Long,35.7877643269,36.2810332448,1.013783172186848,10341.772528722735,2013-02-20 00:00:00+00:00,2013-02-27 00:00:00+00:00
Short,36.833199944,36.8258377213,1.000199920033204,9670.985786184385,2013-03-06 00:00:00+00:00,2013-03-15 00:00:00+00:00
Long,36.8258377213,35.9947001413,0.9774305859301805,10108.364782306107,2013-03-15 00:00:00+00:00,2013-04-08 00:00:00+00:00
Short,36.4911276649,35.5130913498,1.0275401627379168,9937.326308571983,2013-04-10 00:00:00+00:00,2013-04-15 00:00:00+00:00
Long,35.5130913498,35.6909161343,1.0050073023141928,10158.980420673253,2013-04-15 00:00:00+00:00,2013-04-23 00:00:00+00:00
Long,35.572366278,36.4096246386,1.0235367631733234,10398.08993691707,2013-05-01 00:00:00+00:00,2013-05-07 00:00:00+00:00
Short,37.8544510132,40.04021399,0.9454108068117245,9394.855682938414,2013-05-15 00:00:00+00:00,2013-06-04 00:00:00+00:00
Long,40.04021399,39.380780414,0.983530717988553,10226.840861365592,2013-06-04 00:00:00+00:00,2013-06-27 00:00:00+00:00
Short,40.2910687418,41.828383089,0.9632471008040403,9049.56749906279,2013-07-05 00:00:00+00:00,2013-07-26 00:00:00+00:00
Long,41.828383089,42.1940549483,1.00874219446929,10316.245892982131,2013-07-26 00:00:00+00:00,2013-08-01 00:00:00+00:00
Long,41.4104723927,38.7089782485,0.9347630203639931,9643.245169741616,2013-08-06 00:00:00+00:00,2013-09-04 00:00:00+00:00
Short,39.2239039279,38.9850978157,1.0061255742727373,9105.001296914448,2013-09-06 00:00:00+00:00,2013-09-12 00:00:00+00:00
Long,38.9850978157,39.8582326634,1.0223966309338943,9859.22137281338,2013-09-12 00:00:00+00:00,2013-09-18 00:00:00+00:00
Long,39.365695057,39.592733355,1.0057674149452018,9916.083593506997,2013-09-19 00:00:00+00:00,2013-10-04 00:00:00+00:00
Long,38.2396496254,39.4799763776,1.0324356202096616,10237.717914913246,2013-10-08 00:00:00+00:00,2013-10-10 00:00:00+00:00
Short,40.750371657,40.306860879,1.0110033569553185,9205.186876263037,2013-10-17 00:00:00+00:00,2013-10-22 00:00:00+00:00
