Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Long,21.7787671468,21.8930057156,1.005245410267256,10052.454102672558,2013-01-07 00:00:00+00:00,2013-01-11 00:00:00+00:00
Short,22.2030818308,22.3989193773,0.991256830599673,9912.568305996729,2013-01-15 00:00:00+00:00,2013-01-31 00:00:00+00:00
Long,22.3989193773,22.7905944703,1.0174863388006539,10228.234720889914,2013-01-31 00:00:00+00:00,2013-02-01 00:00:00+00:00
Long,22.2626490846,22.480518355,1.0097863138197112,10328.331435690208,2013-02-07 00:00:00+00:00,2013-02-08 00:00:00+00:00
Short,22.7334751859,22.615522547,1.005215561066735,9964.267911324838,2013-02-11 00:00:00+00:00,2013-02-21 00:00:00+00:00
Long,22.615522547,22.8376466317,1.0098217533660068,10429.773759733933,2013-02-21 00:00:00+00:00,2013-02-22 00:00:00+00:00
Long,22.5168007316,22.8787807215,1.0160759956183294,10597.442756995582,2013-02-25 00:00:00+00:00,2013-02-27 00:00:00+00:00
Short,22.9939561728,23.0350902625,0.9982142857166502,9946.474575792461,2013-03-01 00:00:00+00:00,2013-03-08 00:00:00+00:00
Long,22.9281416292,23.1461523049,1.009508432005774,10698.207820885556,2013-03-11 00:00:00+00:00,2013-03-14 00:00:00+00:00
Short,23.1461523049,23.12558526,1.0008893632169202,9955.320604418202,2013-03-14 00:00:00+00:00,2013-03-21 00:00:00+00:00
Short,23.3394825267,23.8042977409,0.9804734750313021,9760.927788064639,2013-03-27 00:00:00+00:00,2013-04-11 00:00:00+00:00
Short,24.4871236309,27.14027242,0.9022431039732357,8806.72978516205,2013-04-19 00:00:00+00:00,2013-05-08 00:00:00+00:00
Long,26.8687874276,27.1731796918,1.0113288426215812,10819.406133621338,2013-05-09 00:00:00+00:00,2013-05-13 00:00:00+00:00
Short,27.7737374022,28.2872989051,0.9818448023396321,8646.841865170984,2013-05-14 00:00:00+00:00,2013-05-23 00:00:00+00:00
Short,29.007941659,28.8091436579,1.0069005175391765,8706.509549120081,2013-05-28 00:00:00+00:00,2013-06-05 00:00:00+00:00
Short,29.546352912,28.8588431582,1.0238231917347196,8913.926395448936,2013-06-07 00:00:00+00:00,2013-06-11 00:00:00+00:00
Long,28.4943801562,28.9913751589,1.0174418604642592,11008.116705710112,2013-06-14 00:00:00+00:00,2013-06-17 00:00:00+00:00
Long,27.7406044021,28.452963906,1.0256793072556873,11290.797516902507,2013-06-20 00:00:00+00:00,2013-06-26 00:00:00+00:00
Short,28.6766116572,28.1133506541,1.0200353565119373,9092.520088702924,2013-06-27 00:00:00+00:00,2013-07-02 00:00:00+00:00
Long,28.1133506541,28.3369984053,1.0079552150845237,11380.618239625272,2013-07-02 00:00:00+00:00,2013-07-05 00:00:00+00:00
Short,28.7428776575,29.3558381609,0.9791196388248106,8902.664985258141,2013-07-10 00:00:00+00:00,2013-07-18 00:00:00+00:00
Long,26.5146833953,26.4152843948,0.9962511715105895,11337.95425374146,2013-07-22 00:00:00+00:00,2013-08-02 00:00:00+00:00
Short,26.5585846206,26.5203657614,1.001441113578291,8915.494736651373,2013-08-07 00:00:00+00:00,2013-08-15 00:00:00+00:00
Long,26.5203657614,27.0209074241,1.0188738597047755,11551.94521166574,2013-08-15 00:00:00+00:00,2013-08-22 00:00:00+00:00
Short,27.0209074241,27.5464761699,0.9809206541497932,8745.392929145104,2013-08-22 00:00:00+00:00,2013-08-28 00:00:00+00:00
Long,26.5954470108,27.0209074241,1.0159974905902964,11736.747346488983,2013-09-03 00:00:00+00:00,2013-09-10 00:00:00+00:00
