Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Long,15.9822098288,14.3644648637,0.8987783928236996,8987.783928236997,2013-01-07 00:00:00+00:00,2013-02-07 00:00:00+00:00
Short,14.7237145403,14.3546476223,1.025710621933112,10257.10621933112,2013-02-11 00:00:00+00:00,2013-02-12 00:00:00+00:00
Long,14.3546476223,13.6109915882,0.9481940585608853,8522.163320383335,2013-02-12 00:00:00+00:00,2013-03-15 00:00:00+00:00
Short,14.1708811354,13.8693077519,1.021743939127653,10480.136112590128,2013-03-22 00:00:00+00:00,2013-03-27 00:00:00+00:00
Long,13.8693077519,13.3664809202,0.9637453548010632,8213.195312875445,2013-03-27 00:00:00+00:00,2013-04-10 00:00:00+00:00
Long,13.1857823212,12.7993818365,0.9706956724077913,7972.5131468481495,2013-04-12 00:00:00+00:00,2013-04-26 00:00:00+00:00
Short,13.6680543037,13.9894040959,0.9770290578499923,10239.397512223613,2013-05-02 00:00:00+00:00,2013-05-10 00:00:00+00:00
Long,13.9894040959,13.9464757084,0.9969313641091702,7948.048406865619,2013-05-10 00:00:00+00:00,2013-05-30 00:00:00+00:00
Long,13.7466579622,12.9245330157,0.9401945586512266,7472.711864031605,2013-06-05 00:00:00+00:00,2013-07-02 00:00:00+00:00
Short,12.9958744366,12.8182929775,1.0138537525559532,10381.251591680002,2013-07-03 00:00:00+00:00,2013-07-08 00:00:00+00:00
Long,12.8182929775,13.0437442213,1.0175882423810827,7604.143731540185,2013-07-08 00:00:00+00:00,2013-07-09 00:00:00+00:00
Short,13.286027099,13.1240419246,1.0123426285385733,10509.383523841581,2013-07-16 00:00:00+00:00,2013-07-19 00:00:00+00:00
Long,13.1240419246,13.6045927949,1.0366160724768216,7882.57760953843,2013-07-19 00:00:00+00:00,2013-07-24 00:00:00+00:00
Short,14.0002134021,14.3319046841,0.9768564409748006,10266.158985939095,2013-07-30 00:00:00+00:00,2013-08-08 00:00:00+00:00
Long,14.1279670369,15.2197795627,1.0772802288502203,8491.745011133182,2013-08-09 00:00:00+00:00,2013-08-13 00:00:00+00:00
Short,15.4790539495,15.5772922064,0.9936934959171122,10201.415412378696,2013-08-15 00:00:00+00:00,2013-08-20 00:00:00+00:00
Long,15.5757378036,15.7358412918,1.0102790307732965,8579.031919421606,2013-08-23 00:00:00+00:00,2013-09-09 00:00:00+00:00
Long,15.3773960065,15.2530437826,0.9919133106900911,8509.655953709453,2013-09-10 00:00:00+00:00,2013-09-23 00:00:00+00:00
Long,14.9698315927,15.3205670402,1.0234294851834562,8709.032811793199,2013-09-25 00:00:00+00:00,2013-10-11 00:00:00+00:00
Short,15.5029917526,16.3510117434,0.9481365432238589,9672.334745083333,2013-10-15 00:00:00+00:00,2013-10-25 00:00:00+00:00
Long,16.062514584,16.5156040481,1.0282078787683298,8954.696153537667,2013-10-29 00:00:00+00:00,2013-11-14 00:00:00+00:00
Long,16.217568941,16.6794592534,1.0284808601141375,9209.73360205118,2013-11-18 00:00:00+00:00,2013-11-26 00:00:00+00:00
Short,16.6794592534,17.5118687122,0.9524659833578993,9212.569824342574,2013-11-26 00:00:00+00:00,2013-12-06 00:00:00+00:00
Long,17.5118687122,17.826758391,1.0179815006596427,9375.338432891596,2013-12-06 00:00:00+00:00,2013-12-23 00:00:00+00:00
Long,17.5140576176,17.4286903064,0.9951257833527845,9329.641002228716,2013-12-27 00:00:00+00:00,2014-01-15 00:00:00+00:00
Long,16.9067927156,16.3471418039,0.9668978663715675,9020.809979067639,2014-01-17 00:00:00+00:00,2014-02-07 00:00:00+00:00
Short,16.3471418039,16.9036014301,0.9670804101421181,8909.295804188117,2014-02-07 00:00:00+00:00,2014-02-19 00:00:00+00:00
Long,16.9036014301,16.7460060244,0.9906768148579643,8936.707297501669,2014-02-19 00:00:00+00:00,2014-03-05 00:00:00+00:00
Short,16.863337534,16.6922159757,1.010251578253547,9000.63014730875,2014-03-11 00:00:00+00:00,2014-03-13 00:00:00+00:00
Long,16.6922159757,16.9608516573,1.016093470273274,9080.529930734963,2014-03-13 00:00:00+00:00,2014-03-24 00:00:00+00:00
Short,17.1432974364,16.9794107969,1.0096520804791367,9087.504953853517,2014-03-25 00:00:00+00:00,2014-03-26 00:00:00+00:00
Long,16.9064324853,17.0665443845,1.0094704722205121,9166.526837191517,2014-03-27 00:00:00+00:00,2014-04-02 00:00:00+00:00
Long,16.9482691898,16.7085731835,0.9858571985365764,9036.886468023973,2014-04-03 00:00:00+00:00,2014-04-21 00:00:00+00:00
Long,16.5066245798,17.8598689617,1.0819818961385983,9777.747555861819,2014-04-23 00:00:00+00:00,2014-04-24 00:00:00+00:00
Short,18.6324324675,18.6978612986,0.9965007318187294,9055.705336921359,2014-04-29 00:00:00+00:00,2014-05-06 00:00:00+00:00
Long,18.6324324675,19.124497621,1.026409066790302,10035.968744123287,2014-05-07 00:00:00+00:00,2014-05-19 00:00:00+00:00
Short,19.1789049647,19.8855677889,0.9644635329651258,8733.897562738319,2014-05-21 00:00:00+00:00,2014-06-02 00:00:00+00:00
Short,20.3970600837,20.4353554527,0.9981260238370387,8717.530446896002,2014-06-04 00:00:00+00:00,2014-06-12 00:00:00+00:00
Long,20.4353554527,20.3667135609,0.9966410228606553,10002.2581545406,2014-06-12 00:00:00+00:00,2014-06-27 00:00:00+00:00
Short,20.5770677453,21.0431683329,0.9778502656906815,8524.43946366386,2014-06-30 00:00:00+00:00,2014-07-10 00:00:00+00:00
Short,21.356485355,21.1062745882,1.0118548048711489,8625.495030141517,2014-07-14 00:00:00+00:00,2014-07-15 00:00:00+00:00
Long,21.1062745882,21.5203401934,1.0196181284134098,10198.483739440453,2014-07-15 00:00:00+00:00,2014-07-23 00:00:00+00:00
Short,21.9255487802,21.7329086324,1.0088639836967246,8701.95127746487,2014-07-28 00:00:00+00:00,2014-07-30 00:00:00+00:00
Long,21.1682737163,21.3603628785,1.009074389568767,10291.028753902872,2014-07-31 00:00:00+00:00,2014-08-11 00:00:00+00:00
