Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Short,71.8467172669,71.1195864074,1.0102240591689426,10102.240591689426,2013-01-09 00:00:00+00:00,2013-01-16 00:00:00+00:00
Long,71.1195864074,72.6976150812,1.0221883837282242,10221.883837282241,2013-01-16 00:00:00+00:00,2013-01-18 00:00:00+00:00
Short,72.6976150812,73.6877507197,0.9865630904888606,9966.497698999136,2013-01-18 00:00:00+00:00,2013-01-30 00:00:00+00:00
Long,73.6877507197,74.229231147,1.0073483098888405,10296.997407366322,2013-01-30 00:00:00+00:00,2013-02-12 00:00:00+00:00
Short,74.2756437551,73.7292697468,1.0074105441458507,10040.354870177089,2013-02-13 00:00:00+00:00,2013-02-14 00:00:00+00:00
Long,73.7292697468,74.7751857055,1.0141858987928656,10443.06957045762,2013-02-14 00:00:00+00:00,2013-02-28 00:00:00+00:00
Short,75.0717887386,77.0543458543,0.9742706645067268,9782.023211250784,2013-03-01 00:00:00+00:00,2013-03-21 00:00:00+00:00
Long,77.0543458543,77.6475519205,1.0076985413297996,10523.46597315576,2013-03-21 00:00:00+00:00,2013-04-10 00:00:00+00:00
Short,77.6475519205,76.1489260692,1.0196801968019633,9974.535353169573,2013-04-10 00:00:00+00:00,2013-04-15 00:00:00+00:00
Long,76.1489260692,78.6934678792,1.0334153341530734,10875.111105097258,2013-04-15 00:00:00+00:00,2013-04-22 00:00:00+00:00
Short,82.3463683918,87.1192388608,0.9452145067907889,9428.075514313465,2013-04-24 00:00:00+00:00,2013-05-23 00:00:00+00:00
Long,87.1192388608,88.6145103499,1.017163504969197,11061.766128590163,2013-05-23 00:00:00+00:00,2013-05-30 00:00:00+00:00
Short,88.6145103499,85.9545010694,1.0309467130563914,9719.843461928913,2013-05-30 00:00:00+00:00,2013-06-05 00:00:00+00:00
Long,85.9545010694,84.6166265792,0.9844350851490629,10889.590680697676,2013-06-05 00:00:00+00:00,2013-07-08 00:00:00+00:00
Short,84.6166265792,93.1517773713,0.9083737204704193,8829.250367902447,2013-07-08 00:00:00+00:00,2013-08-15 00:00:00+00:00
Long,93.1517773713,91.3597871018,0.9807626830097166,10680.104172878659,2013-08-15 00:00:00+00:00,2013-09-05 00:00:00+00:00
Short,93.29450226,94.2301431972,0.990070683271255,8741.581944522155,2013-09-11 00:00:00+00:00,2013-09-20 00:00:00+00:00
Long,94.2301431972,93.6592436423,0.9939414338604448,10615.398055369933,2013-09-20 00:00:00+00:00,2013-10-16 00:00:00+00:00
Short,94.5790262585,95.6415337634,0.9888907312221857,8644.46936115717,2013-10-17 00:00:00+00:00,2013-11-04 00:00:00+00:00
Long,95.6415337634,98.3215900072,1.0280218869181874,10912.861539269055,2013-11-04 00:00:00+00:00,2013-11-08 00:00:00+00:00
Short,98.3215900072,97.3542324281,1.009936471738036,8730.364886654625,2013-11-08 00:00:00+00:00,2013-11-13 00:00:00+00:00
Long,97.3542324281,99.2233570086,1.019199212339129,11122.379885188995,2013-11-13 00:00:00+00:00,2013-11-15 00:00:00+00:00
Long,97.1146010716,99.3511603988,1.0230301036355083,11378.52944661839,2013-11-20 00:00:00+00:00,2013-12-18 00:00:00+00:00
Short,99.3511603988,101.7794248112,0.9761418929522896,8522.074906623246,2013-12-18 00:00:00+00:00,2014-01-02 00:00:00+00:00
Long,101.7794248112,100.5812680287,0.9882279077060754,11244.58034780366,2014-01-02 00:00:00+00:00,2014-02-06 00:00:00+00:00
Short,100.5812680287,106.2009648064,0.9470843152136661,8071.1234771388445,2014-02-06 00:00:00+00:00,2014-03-11 00:00:00+00:00
Long,106.2009648064,109.0164728872,1.0265111346769076,11542.68693178959,2014-03-11 00:00:00+00:00,2014-04-01 00:00:00+00:00
Short,109.0164728872,108.3407509478,1.0062370062371597,8121.463124606646,2014-04-01 00:00:00+00:00,2014-04-04 00:00:00+00:00
Long,108.3407509478,108.9521184167,1.0056430056423973,11607.822379274105,2014-04-04 00:00:00+00:00,2014-04-16 00:00:00+00:00
Long,107.2467249507,109.4830427977,1.0208520852084575,11849.869680611368,2014-04-25 00:00:00+00:00,2014-05-07 00:00:00+00:00
Short,109.4830427977,108.2350209928,1.0115306653378209,8215.108997949937,2014-05-07 00:00:00+00:00,2014-05-15 00:00:00+00:00
