Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Long,108.2094536912,111.7229060771,1.0324689966176748,10324.689966176747,2013-01-08 00:00:00+00:00,2013-01-10 00:00:00+00:00
Short,111.7229060771,111.5277142779,1.0017501640777253,10017.501640777253,2013-01-10 00:00:00+00:00,2013-01-11 00:00:00+00:00
Long,110.7144151145,114.748378965,1.0364357599353988,10700.877891191785,2013-01-14 00:00:00+00:00,2013-01-16 00:00:00+00:00
Short,114.748378965,117.8958467274,0.9733029801323061,9750.064200448765,2013-01-16 00:00:00+00:00,2013-01-24 00:00:00+00:00
Long,117.4891971457,120.2544143012,1.0235359268994817,10952.732970999155,2013-01-25 00:00:00+00:00,2013-01-31 00:00:00+00:00
Short,120.2544143012,119.9778925857,1.0023047722337886,9772.535877695616,2013-01-31 00:00:00+00:00,2013-02-04 00:00:00+00:00
Long,119.9778925857,125.3375340725,1.0446719088933123,11442.012460412407,2013-02-04 00:00:00+00:00,2013-02-12 00:00:00+00:00
Short,125.3375340725,126.0532373363,0.9943222143363875,9717.049513592097,2013-02-12 00:00:00+00:00,2013-02-15 00:00:00+00:00
Short,129.0299122744,126.2077641774,1.0223611290113115,9934.333711374831,2013-02-19 00:00:00+00:00,2013-02-20 00:00:00+00:00
Long,126.2077641774,127.8092491449,1.0126892745302811,11587.203297701477,2013-02-20 00:00:00+00:00,2013-03-07 00:00:00+00:00
Short,127.8092491449,124.8388388085,1.023793959994746,10170.710850277741,2013-03-07 00:00:00+00:00,2013-03-08 00:00:00+00:00
Long,124.8388388085,121.9663540876,0.9769904562689314,11320.587036702233,2013-03-08 00:00:00+00:00,2013-04-10 00:00:00+00:00
Short,121.9663540876,121.6480958372,1.0026162205681042,10197.319673196478,2013-04-10 00:00:00+00:00,2013-04-11 00:00:00+00:00
Long,119.5182137004,121.8521075362,1.0195275160458006,11541.649981709317,2013-04-15 00:00:00+00:00,2013-05-07 00:00:00+00:00
Short,121.8521075362,121.2155910355,1.0052511108122517,10250.866928788388,2013-05-07 00:00:00+00:00,2013-05-09 00:00:00+00:00
Long,121.2155910355,126.0955508739,1.0402585162247884,12006.299684758791,2013-05-09 00:00:00+00:00,2013-05-14 00:00:00+00:00
Short,126.0955508739,126.0547485341,1.0003236874475139,10254.185005739371,2013-05-14 00:00:00+00:00,2013-05-16 00:00:00+00:00
Short,129.0822821462,130.0288964292,0.9927199698759619,10179.534230000128,2013-05-17 00:00:00+00:00,2013-05-22 00:00:00+00:00
Long,128.4539261135,134.5345817621,1.0473372502700091,12574.644897752949,2013-05-23 00:00:00+00:00,2013-05-30 00:00:00+00:00
