Type,Entry Price,Exit Price,Profit Factor,Capital,Open Position Date,Close Position Date
Long,21.7787671468,22.2030818308,1.0194829524159885,10194.829524159884,2013-01-07 00:00:00+00:00,2013-01-15 00:00:00+00:00
Short,22.2030818308,22.0643635688,1.0062869822448064,10062.869822448063,2013-01-15 00:00:00+00:00,2013-01-16 00:00:00+00:00
Short,22.5294777416,22.7253152881,0.9913824057436709,9976.152093263947,2013-01-23 00:00:00+00:00,2013-01-30 00:00:00+00:00
Long,22.3989193773,22.7334751859,1.0149362477253725,10347.102023450678,2013-01-31 00:00:00+00:00,2013-02-11 00:00:00+00:00
Short,22.8721934479,22.9281416292,0.9975598466633359,9951.808752446499,2013-02-13 00:00:00+00:00,2013-02-20 00:00:00+00:00
Long,22.615522547,22.9939561728,1.016733357587185,10520.243781600164,2013-02-21 00:00:00+00:00,2013-03-01 00:00:00+00:00
Short,23.1584925318,23.1091316241,1.0021359914557983,9973.065730911463,2013-03-04 00:00:00+00:00,2013-03-06 00:00:00+00:00
Long,23.0350902625,23.1461523049,1.0048214285741612,10570.966385575914,2013-03-08 00:00:00+00:00,2013-03-14 00:00:00+00:00
Short,23.294235028,23.12558526,1.0072927783709633,10045.79708896605,2013-03-20 00:00:00+00:00,2013-03-21 00:00:00+00:00
Long,23.12558526,23.3394825267,1.0092493774447289,10668.741243631646,2013-03-21 00:00:00+00:00,2013-03-27 00:00:00+00:00
Short,23.5328127485,23.4957920678,1.0015756302487344,10061.625550732073,2013-03-28 00:00:00+00:00,2013-04-03 00:00:00+00:00
Long,23.4957920678,24.3596079526,1.0367647058804128,11060.974377567993,2013-04-03 00:00:00+00:00,2013-04-09 00:00:00+00:00
Short,24.3596079526,23.8042977409,1.0233281493007826,10296.344653788121,2013-04-09 00:00:00+00:00,2013-04-11 00:00:00+00:00
Long,23.8042977409,24.4871236309,1.0286849835870933,11378.258246045789,2013-04-11 00:00:00+00:00,2013-04-19 00:00:00+00:00
Short,24.4871236309,27.4035305944,0.8935755028552425,9200.561351579607,2013-04-19 00:00:00+00:00,2013-05-07 00:00:00+00:00
Long,27.14027242,27.7737374022,1.0233404061829974,11643.831415163537,2013-05-08 00:00:00+00:00,2013-05-14 00:00:00+00:00
Short,27.7737374022,28.6683284071,0.9687951459116658,8913.459177072798,2013-05-14 00:00:00+00:00,2013-05-22 00:00:00+00:00
Long,28.2872989051,29.007941659,1.0254758418722714,11940.467823083629,2013-05-23 00:00:00+00:00,2013-05-28 00:00:00+00:00
Short,29.4800869116,28.9830919089,1.0171477565010028,9066.305004622871,2013-06-03 00:00:00+00:00,2013-06-04 00:00:00+00:00
Long,28.9830919089,29.546352912,1.0194341240358498,12172.52035580351,2013-06-04 00:00:00+00:00,2013-06-07 00:00:00+00:00
Long,28.8588431582,28.6766116572,0.9936854190585176,12095.655990754947,2013-06-11 00:00:00+00:00,2013-06-27 00:00:00+00:00
Long,28.1133506541,28.7428776575,1.022392457275746,12366.507450750047,2013-07-02 00:00:00+00:00,2013-07-10 00:00:00+00:00
Short,28.7428776575,29.6043356623,0.9709009513124446,8802.484153877123,2013-07-10 00:00:00+00:00,2013-07-17 00:00:00+00:00
